index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,theta_raw,tangent_angle,effective_theta,offset_eval,alpha_eval
100,0.328947,0.328947,0.328997,0.328997,139.355017,198.984863,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.355017,0.000000
101,0.332237,0.332237,0.332287,0.332287,139.338567,200.974711,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.338567,0.000000
102,0.335526,0.335526,0.335576,0.335576,139.322118,202.964560,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.322118,0.000000
103,0.338816,0.338816,0.338866,0.338866,139.305668,204.954408,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.305668,0.000000
104,0.342105,0.342105,0.342156,0.342156,139.289218,206.944257,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.289218,0.000000
105,0.345395,0.345395,0.345446,0.345446,139.272768,208.934106,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.272768,0.000000
106,0.348684,0.348684,0.348736,0.348736,139.256318,210.923954,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.256318,0.000000
107,0.351974,0.351974,0.352026,0.352026,139.239868,212.913803,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.239868,0.000000
108,0.355263,0.355263,0.355316,0.355316,139.223419,214.903652,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.223419,0.000000
109,0.358553,0.358553,0.358606,0.358606,139.206969,216.893500,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.206969,0.000000
110,0.361842,0.361842,0.361896,0.361896,139.190519,218.883349,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.190519,0.000000
111,0.365132,0.365132,0.365186,0.365186,139.174069,220.873197,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.174069,0.000000
112,0.368421,0.368421,0.368476,0.368476,139.157619,222.863046,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.157619,0.000000
113,0.371711,0.371711,0.371766,0.371766,139.141169,224.852895,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.141169,0.000000
114,0.375000,0.375000,0.375056,0.375056,139.124720,226.842743,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.124720,0.000000
115,0.378289,0.378289,0.378346,0.378346,139.108270,228.832592,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.108270,0.000000
116,0.381579,0.381579,0.381636,0.381636,139.091820,230.822441,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.091820,0.000000
117,0.384868,0.384868,0.384926,0.384926,139.075370,232.812289,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.075370,0.000000
118,0.388158,0.388158,0.388216,0.388216,139.058920,234.802138,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.058920,0.000000
119,0.391447,0.391447,0.391506,0.391506,139.042470,236.791986,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.042470,0.000000
120,0.394737,0.394737,0.394796,0.394796,139.026021,238.781835,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.026021,0.000000
121,0.398026,0.398026,0.398086,0.398086,139.009571,240.771684,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.009571,0.000000
122,0.401316,0.401316,0.401376,0.401376,138.993121,242.761532,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.993121,0.000000
123,0.404605,0.404605,0.404666,0.404666,138.976671,244.751381,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.976671,0.000000
124,0.407895,0.407895,0.407956,0.407956,138.960221,246.741230,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.960221,0.000000
125,0.411184,0.411184,0.411246,0.411246,138.943772,248.731078,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.943772,0.000000
126,0.414474,0.414474,0.414536,0.414536,138.927322,250.720927,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.927322,0.000000
127,0.417763,0.417763,0.417826,0.417826,138.910872,252.710775,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.910872,0.000000
128,0.421053,0.421053,0.421116,0.421116,138.894422,254.700624,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.894422,0.000000
129,0.424342,0.424342,0.424406,0.424406,138.877972,256.690473,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.877972,0.000000
130,0.427632,0.427632,0.427696,0.427696,138.861522,258.680321,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.861522,0.000000
131,0.430921,0.430921,0.430985,0.430985,138.845073,260.670170,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.845073,0.000000
132,0.434211,0.434211,0.434275,0.434275,138.828623,262.660019,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.828623,0.000000
133,0.437500,0.437500,0.437565,0.437565,138.812173,264.649867,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.812173,0.000000
134,0.440789,0.440789,0.440855,0.440855,138.795723,266.639716,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.795723,0.000000
135,0.444079,0.444079,0.444145,0.444145,138.779273,268.629564,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.779273,0.000000
136,0.447368,0.447368,0.447435,0.447435,138.762823,270.619413,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.762823,0.000000
